row_index,hyperlinks
37017,gancaran
37061,gandin
37071,gandin
37083,gendola
37097,berganduh
37170,gasal
37171,gasang
37175,gasing
37181,genis
37192,berganjak | mengganjak | mengganjakkan | terganjak
37207,gonjang
37208,gonjlang
37243,menggantih
37290,gaplokan | menggaplok | menggaploki
37299,gahara
37306,bergarah | bergarah-garah | garah-garah | mempergarahkan
37407,pitis
37635,menggasab
37642,gazeter
37647,gangsir
37671,kaswah
37842,menggayuh
37843,kayuh
37899,menggebos
37911,menggebyah-uyah
37921,gecar
37926,gedebuk
37927,gelambir
37930,gadang
37946,kelambai
37979,bergeduyut
38001,tergegau
38041,menggejuju
38048,gelebah
38052,geledah
38073,gladi
38077,menggeladrah
38081,gelegak
38082,gelagapan
38112,gulana
38126,tergelang-gelang
38171,menggelangsar | tergelangsar
38173,kelantang
38174,menggelantang
38177,gantung
38191,gelepur
38222,gelangsar
38223,glasir
38224,geletak
38227,gelantang
38234,bergelayangan
38235,gelayaran
38239,gayut
38243,bergeleberan | menggeleber
38249,menggeledah | menggeledahi | penggeledah | penggeledahan
38253,menggeledur
38258,gegar
38265,menggelek | menggelekkan
38268,menggelekek
38271,kelambai
38276,gembung
38283,menggelembur
38284,gelimpang
38287,tergelenang
38294,bergelendot | bergelendotan | gelendotan | menggelendot
38302,geletar
38303,menggelenting
38304,menggelenyar
38306,menggelepai
38307,bergeleparan | menggelepar | menggelepar-gelepar | menggelepar-geleparkan
38308,menggelepek
38309,gelepot
38313,gilir
38314,geleser
38315,menggeleser | menggeleserkan
38316,menggelesot
38320,menggeletar
38321,gelitik
38322,menggeletik
38324,menggeletis
38325,bergemeletuk | gemeletuk | menggeletuk
38339,menggelibir
38340,tergelicik
38343,menggeligi
38344,menggeligi
38346,menggeligis
38347,menggeligit
38352,menggelimantang
38360,tergelincuh
38364,gelendong
38370,gingsir
38373,tergelintang
38374,menggelintar
38375,bergelintin
38376,menggelinting
38381,gelimpang
38383,geulis
38387,menggelitar
38393,gelitik
38394,geliang
38398,menggelobok
38400,menggelodar
38403,menggelogok
38405,tergelohok
38406,gejolak
38409,gelopak
38410,gelimang
38457,menggelompar
38463,bergelonggong
38465,kelongsong
38466,menggelongsor
38469,menggelopak
38474,darurat
38475,menggelosang
38476,menggeloso
38478,gosok
38479,gelongsor
38493,menggelulur
38494,gelimang
38495,gelemat
38498,tergeluncur
38511,menggelup
38512,menggelupur
38523,menggemak | menggemak-gemak
38526,kemala
38529,gamang
38530,tergemap
38535,gaung
38544,bergembar-gembor | menggembar-gemborkan | penggembar-gemboran
38558,gemblengan | menggembleng | penggembleng | penggemblengan | tergembleng
38568,menggembol
38585,kembung
38589,gembusan
38593,gebyar
38600,geletuk
38602,gelugut
38604,gemetar
38607,gemerencing
38615,geretak
38618,gemercik
38620,gerincing
38622,gerlap
38628,getar
38636,menggemik
38640,gilap
38643,bergeming | tergeming
38649,girang
38650,gamit
38664,gumpal
38673,menggempita
38693,gulung
38695,guntur
38697,guruh
38717,bergenang | genangan | kegenangan | menggenang | menggenangi | penggenangan | tergenang
38731,gencar
38734,gelincir
38735,kendaga
38737,kendala
38776,kendit
38781,menggendong
38794,genealogi
38865,genis
38890,genjrang-genjreng
38915,naga
38923,bergentayangan | gentayangan | menggentayangi
38929,genting
38932,getik
38951,gentusan
39063,gap
39068,bergepok-gepok | gepokan | segepok
39071,keprek
39076,gerabang
39077,menggerabak | menggerabakkan
39078,gerabak-gerubuk
39083,gerecak
39084,geledah
39087,geragapan | menggeragap
39091,udang
39093,gerogot
39098,menggeraikan | tergerai | tergerai-gerai
39161,semut
39162,gurami
39163,gurami
39170,berangsang
39177,menggeranyam
39180,bergerapu
39181,grapyak
39193,menggerbak
39194,menggerbang | menggerbangkan | tegerbang-gerbang
39212,menggerbus
39215,gerdum
39221,gerebek
39222,garebek
39226,menggerecak-gerecak
39239,menggeremet
39243,menggerendeng
39245,gerenik
39247,gerenengan
39256,gerentang
39258,geranyam
39265,gerenyot
39268,menggerepek
39275,menggeretang
39288,bergajul
39305,geriak-geriuk
39314,menggeridip
39319,gereh
39321,gerak
39338,geringgingan
39341,gerising
39346,menggerinyau
39347,gerenyot
39349,gerit
39355,gerit-gerit putih
39356,gerit-gerit
39358,akar
39359,gurita
39361,geriak
39384,bergerobok | menggerobok
39392,garuda
39396,menggerogoti | penggerogotan | tergerogoti
39399,gerojokan | menggerojok
39409,gerung
39413,geronggang
39414,geranium
39416,gerantang
39422,gerupis
39432,kersak
39437,kersik
39443,gerlap
39445,kertuk
39449,gerobok
39451,gerogol
39458,gerupis
39459,menggerumit
39461,menggerumuk
39462,menggerumuti
39470,menggerupis
